indicator,date,rate
open,2023-06-08 19:59:00,386.42
high,2023-06-08 19:59:00,386.45
low,2023-06-08 19:59:00,386.4
close,2023-06-08 19:59:00,386.45
open,2023-06-08 19:58:00,386.3
high,2023-06-08 19:58:00,386.4
low,2023-06-08 19:58:00,386.3
close,2023-06-08 19:58:00,386.4
open,2023-06-08 19:57:00,385.9995
high,2023-06-08 19:57:00,386.2
low,2023-06-08 19:57:00,385.93
close,2023-06-08 19:57:00,386.2
open,2023-06-08 19:56:00,386.1
high,2023-06-08 19:56:00,386.1001
low,2023-06-08 19:56:00,386.0
close,2023-06-08 19:56:00,386.0
open,2023-06-08 19:55:00,386.15
high,2023-06-08 19:55:00,386.15
low,2023-06-08 19:55:00,386.1
close,2023-06-08 19:55:00,386.1
open,2023-06-08 19:54:00,386.2
high,2023-06-08 19:54:00,386.2
low,2023-06-08 19:54:00,386.2
close,2023-06-08 19:54:00,386.2
open,2023-06-08 19:53:00,386.1
high,2023-06-08 19:53:00,386.1001
low,2023-06-08 19:53:00,386.1
close,2023-06-08 19:53:00,386.1
open,2023-06-08 19:52:00,386.1001
high,2023-06-08 19:52:00,386.2
low,2023-06-08 19:52:00,386.1
close,2023-06-08 19:52:00,386.2
open,2023-06-08 19:51:00,386.25
high,2023-06-08 19:51:00,386.25
low,2023-06-08 19:51:00,386.2
close,2023-06-08 19:51:00,386.2
open,2023-06-08 19:50:00,386.29
high,2023-06-08 19:50:00,386.3
low,2023-06-08 19:50:00,386.21
close,2023-06-08 19:50:00,386.28
open,2023-06-08 19:49:00,386.3
high,2023-06-08 19:49:00,386.3
low,2023-06-08 19:49:00,386.25
close,2023-06-08 19:49:00,386.3
open,2023-06-08 19:48:00,386.3
high,2023-06-08 19:48:00,386.3
low,2023-06-08 19:48:00,386.3
close,2023-06-08 19:48:00,386.3
open,2023-06-08 19:47:00,386.3
high,2023-06-08 19:47:00,386.3
low,2023-06-08 19:47:00,386.3
close,2023-06-08 19:47:00,386.3
open,2023-06-08 19:46:00,386.25
high,2023-06-08 19:46:00,386.27
low,2023-06-08 19:46:00,386.2
close,2023-06-08 19:46:00,386.27
open,2023-06-08 19:44:00,386.32
high,2023-06-08 19:44:00,386.32
low,2023-06-08 19:44:00,386.3
close,2023-06-08 19:44:00,386.3
open,2023-06-08 19:43:00,386.2
high,2023-06-08 19:43:00,386.2
low,2023-06-08 19:43:00,386.2
close,2023-06-08 19:43:00,386.2
open,2023-06-08 19:42:00,386.28
high,2023-06-08 19:42:00,386.28
low,2023-06-08 19:42:00,386.2
close,2023-06-08 19:42:00,386.2
open,2023-06-08 19:40:00,386.25
high,2023-06-08 19:40:00,386.25
low,2023-06-08 19:40:00,386.25
close,2023-06-08 19:40:00,386.25
open,2023-06-08 19:39:00,386.25
high,2023-06-08 19:39:00,386.25
low,2023-06-08 19:39:00,386.1
close,2023-06-08 19:39:00,386.1
open,2023-06-08 19:38:00,386.3
high,2023-06-08 19:38:00,386.3
low,2023-06-08 19:38:00,386.3
close,2023-06-08 19:38:00,386.3
open,2023-06-08 19:37:00,386.4
high,2023-06-08 19:37:00,386.4
low,2023-06-08 19:37:00,386.3
close,2023-06-08 19:37:00,386.3
open,2023-06-08 19:36:00,386.4
high,2023-06-08 19:36:00,386.4
low,2023-06-08 19:36:00,386.4
close,2023-06-08 19:36:00,386.4
open,2023-06-08 19:35:00,386.4
high,2023-06-08 19:35:00,386.4
low,2023-06-08 19:35:00,386.35
close,2023-06-08 19:35:00,386.35
open,2023-06-08 19:34:00,386.35
high,2023-06-08 19:34:00,386.38
low,2023-06-08 19:34:00,386.35
close,2023-06-08 19:34:00,386.38
open,2023-06-08 19:33:00,386.4
high,2023-06-08 19:33:00,386.4
low,2023-06-08 19:33:00,386.4
close,2023-06-08 19:33:00,386.4
open,2023-06-08 19:32:00,386.38
high,2023-06-08 19:32:00,386.4
low,2023-06-08 19:32:00,386.38
